,pair_0,pair_1,min_dcor,p-value,condition
125,11,12,0.01753,0.19548,"('2', '3', '7', '10', '15', '16')"
126,11,13,0.00316,0.63174,"('10',)"
127,11,14,0.0,0.49105,"('1', '2', '3', '5', '7', '12', '15', '16')"
128,11,15,0.03469,0.11369,"('2', '3', '5', '9', '10', '12', 'T')"
129,11,16,0.0,0.48095,"('2', '3', '6', '8', '9', '10', '13', '14', '15', '17', 'T')"
130,11,17,0.02134,0.83322,"('2', '6', '7', '13')"
131,11,T,0.0,0.47725,"('1', '3', '8', '10', '12', '13', '14', '16')"
132,12,13,0.0,0.46315,"('1', '2', '3', '4', '6', '7', '11', '14', '15', '17', 'T')"
133,12,14,0.0,0.47975,"('6', '7', '8', '10', '11', 'T')"
134,12,15,0.0,0.46335,"('2', '6', '10', '14', 'T')"
135,12,16,0.0,0.46035,"('5', '6', '8', '10', '11', '15', '17')"
136,12,17,0.0,0.48205,"('2', '3', '6', '8', '9', '10', '11', '16', 'T')"
137,12,T,0.0,0.45505,"('1', '3', '4', '5', '6', '7', '8', '15')"
138,13,14,0.0,0.46805,"('9', '10', '11', '12', '16')"
139,13,15,0.0,0.45995,"('2', '8', '11', 'T')"
140,13,16,0.0,0.47105,"('1', '4', '5', '6', '7', '10', '14', '17')"
141,13,17,0.00057,0.43146,"('1', '2', '8', 'T')"
142,13,T,0.01197,0.21498,"('1', '3', '8', '15')"
143,14,15,0.00035,0.41146,"('5', '9', '11', '13', '16', 'T')"
144,14,16,0.08041,0.042,"('1', '2', '4', '5', '9', '10', '11', '12', '15', 'T')"
145,14,17,0.0139,0.77652,"('10', '11', '16')"
146,14,T,0.0025,0.32427,"('13', '15', '16')"
147,15,16,0.00011,0.48055,"('1', '4', '6', '7', '10')"
148,15,17,0.0,0.48435,"('1', '2', '5', '6', '8', '10', '11', '12', '13', 'T')"
149,15,T,0.01718,0.17718,"('8', '11', '13', '14', '17')"
150,16,17,0.00906,0.26747,"('1', '2', '4', '6', '7', '8', '10', '14')"
151,16,T,0.00065,0.52095,"('1', '2', '4', '10', '12')"
152,17,T,0.0,0.48615,"('3', '6', '7', '8', '10', '14', '16')"
